t,x,v_exact,v_ce,v_ut
0,0.003,273.468,94.3789,273.468
1,0.00285,274.202,94.6043,274.202
2,0.0027075,274.902,94.819,274.902
3,0.00257212,275.569,95.0234,275.569
4,0.00244352,276.204,95.2181,276.204
5,0.00232134,276.809,95.4034,276.809
6,0.00220528,277.384,95.5798,277.384
7,0.00209501,277.932,95.7478,277.932
8,0.00199026,278.454,95.9076,278.454
9,0.00189075,278.95,96.0597,278.95
10,0.00179621,279.423,96.2044,279.423
11,0.0017064,279.872,96.3422,279.872
12,0.00162108,280.3,96.4732,280.3
13,0.00154003,280.707,96.5979,280.707
14,0.00146302,281.094,96.7165,281.094
15,0.00138987,281.463,96.8293,281.463
16,0.00132038,281.813,96.9366,281.813
17,0.00125436,282.147,97.0386,282.147
18,0.00119164,282.464,97.1357,282.464
19,0.00113206,282.765,97.228,282.765
20,0.00107546,283.052,97.3158,283.052
21,0.00102168,283.325,97.3992,283.325
22,0.000970601,283.584,97.4786,283.584
23,0.000922071,283.831,97.5541,283.831
24,0.000875967,284.065,97.6258,284.065
25,0.000832169,284.288,97.694,284.288
26,0.00079056,284.5,97.7589,284.5
27,0.000751032,284.701,97.8205,284.701
28,0.000713481,284.893,97.8792,284.893
29,0.000677807,285.075,97.9349,285.075
30,0.000643916,285.248,97.9878,285.248
31,0.00061172,285.413,98.0382,285.413
32,0.000581134,285.569,98.086,285.569
33,0.000552078,285.718,98.1315,285.718
34,0.000524474,285.859,98.1747,285.859
35,0.00049825,285.993,98.2158,285.993
36,0.000473338,286.121,98.2549,286.121
37,0.000449671,286.242,98.292,286.242
38,0.000427187,286.358,98.3272,286.358
39,0.000405828,286.467,98.3608,286.467
