t,x,v_exact,v_ce,v_ut
0,0.006,259.189,89.9912,90.4815
1,0.0057,260.582,90.4199,90.9127
2,0.005415,261.912,90.8291,91.3245
3,0.00514425,263.182,91.2198,91.7175
4,0.00488704,264.394,91.5926,92.0926
5,0.00464269,265.551,91.9483,92.4505
6,0.00441055,266.656,92.2876,92.7919
7,0.00419002,267.709,92.6112,93.1175
8,0.00398052,268.714,92.9198,93.428
9,0.0037815,269.672,93.214,93.724
10,0.00359242,270.585,93.4944,94.0061
11,0.0034128,271.456,93.7616,94.275
12,0.00324216,272.285,94.0162,94.5312
13,0.00308005,273.076,94.2589,94.7753
14,0.00292605,273.83,94.49,95.0078
15,0.00277975,274.547,94.7101,95.2293
16,0.00264076,275.231,94.9197,95.4402
17,0.00250872,275.882,95.1193,95.6411
18,0.00238329,276.502,95.3094,95.8323
19,0.00226412,277.092,95.4903,96.0143
20,0.00215092,277.654,95.6626,96.1876
21,0.00204337,278.189,95.8265,96.3526
22,0.0019412,278.698,95.9825,96.5096
23,0.00184414,279.183,96.131,96.659
24,0.00175193,279.644,96.2723,96.8011
25,0.00166434,280.083,96.4067,96.9364
26,0.00158112,280.501,96.5346,97.065
27,0.00150206,280.898,96.6563,97.1875
28,0.00142696,281.276,96.7721,97.3039
29,0.00135561,281.636,96.8822,97.4147
30,0.00128783,281.978,96.9869,97.5201
31,0.00122344,282.303,97.0865,97.6203
32,0.00116227,282.612,97.1812,97.7156
33,0.00110416,282.907,97.2713,97.8062
34,0.00104895,283.186,97.3569,97.8924
35,0.0009965,283.453,97.4384,97.9743
36,0.000946675,283.706,97.5158,98.0522
37,0.000899342,283.946,97.5894,98.1263
38,0.000854374,284.175,97.6594,98.1968
39,0.000811656,284.392,97.726,98.2637
