method,rep,t,ess
pf_ce,0,0,1.00523
pf_ce,0,1,258.969
pf_ce,0,2,128.328
pf_ce,0,3,283.379
pf_ce,0,4,13.7311
pf_ce,0,5,235.239
pf_ce,0,6,39.2966
pf_ce,0,7,233.577
pf_ce,0,8,91.1503
pf_ce,0,9,190.767
pf_ce,0,10,249.021
pf_ce,0,11,94.3505
pf_ce,0,12,173.082
pf_ce,0,13,80.5737
pf_ce,0,14,175.908
pf_ce,0,15,129.161
pf_ce,0,16,215.88
pf_ce,0,17,230.165
pf_ce,0,18,222.653
pf_ce,0,19,100.679
pf_ce,0,20,60.5098
pf_ce,0,21,145.17
pf_ce,0,22,9.39817
pf_ce,0,23,62.729
pf_ce,0,24,21.0663
pf_ce,0,25,161.485
pf_ce,0,26,158.468
pf_ce,0,27,80.2268
pf_ce,0,28,85.7732
pf_ce,0,29,46.2516
pf_ce,0,30,212.334
pf_ce,0,31,200.374
pf_ce,0,32,228.747
pf_ce,0,33,186.985
pf_ce,0,34,129.395
pf_ce,0,35,61.5711
pf_ce,0,36,241.289
pf_ce,0,37,235.088
pf_ce,0,38,20.9638
pf_ce,0,39,54.3726
pf_ce,0,40,178.657
pf_ce,0,41,118.92
pf_ce,0,42,212.841
pf_ce,0,43,1.45354
pf_ce,0,44,79.9124
pf_ce,0,45,179.663
pf_ce,0,46,166.538
pf_ce,0,47,48.7367
pf_ce,0,48,212.864
pf_ce,0,49,174.874
pf_ce,0,50,96.7942
pf_ce,0,51,3.12878
pf_ce,0,52,150.914
pf_ce,0,53,83.0307
pf_ce,0,54,126.998
pf_ce,0,55,25.1248
pf_ce,0,56,61.3792
pf_ce,0,57,155.654
pf_ce,0,58,169.349
pf_ce,0,59,169.213
pf_ce,0,60,11.7984
pf_ce,0,61,26.3642
pf_ce,0,62,56.9807
pf_ce,0,63,68.9657
pf_ce,0,64,90.8976
pf_ce,0,65,35.1568
pf_ce,0,66,1.0046
pf_ce,0,67,117.693
pf_ce,0,68,133.338
pf_ce,0,69,123.546
pf_ce,0,70,1.6529
pf_ce,0,71,21.7081
pf_ce,0,72,89.4797
pf_ce,0,73,40.1957
pf_ce,0,74,115.81
pf_ce,0,75,105.268
pf_ce,0,76,65.8342
pf_ce,0,77,95.8519
pf_ce,0,78,189.736
pf_ce,0,79,167.163
pf_ce,0,80,108.69
pf_ce,0,81,68.5349
pf_ce,0,82,92.654
pf_ce,0,83,111.538
pf_ce,0,84,188.439
pf_ce,0,85,27.1548
pf_ce,0,86,33.3096
pf_ce,0,87,1.01043
pf_ce,0,88,67.4785
pf_ce,0,89,41.8288
pf_ce,0,90,44.8547
pf_ce,0,91,92.0363
pf_ce,0,92,123.289
pf_ce,0,93,139.427
pf_ce,0,94,154.452
pf_ce,0,95,108.908
pf_ce,0,96,114.939
pf_ce,0,97,49.8787
pf_ce,0,98,168.14
pf_ce,0,99,152.891
pf_ce,0,100,172.695
pf_ce,0,101,162.135
pf_ce,0,102,192.556
pf_ce,0,103,64.7463
pf_ce,0,104,188.923
pf_ce,0,105,12.1393
pf_ce,0,106,64.9209
pf_ce,0,107,47.9899
pf_ce,0,108,144.113
pf_ce,0,109,124.506
pf_ce,0,110,202.696
pf_ce,0,111,216.809
pf_ce,0,112,37.6524
pf_ce,0,113,158.438
pf_ce,0,114,71.0147
pf_ce,0,115,144.797
pf_ce,0,116,190.265
pf_ce,0,117,208.464
pf_ce,0,118,226.428
pf_ce,0,119,187.018
pf_ce,0,120,244.876
pf_ce,0,121,240.099
pf_ce,0,122,54.9808
pf_ce,0,123,38.1333
pf_ce,0,124,153.427
pf_ce,0,125,142.747
pf_ce,0,126,211.971
pf_ce,0,127,199.661
pf_ce,0,128,169.469
pf_ce,0,129,13.3528
pf_ce,0,130,173.529
pf_ce,0,131,203.456
pf_ce,0,132,187.889
pf_ce,0,133,148.346
pf_ce,0,134,202.669
pf_ce,0,135,261.822
pf_ce,0,136,78.6092
