method,rep,loglik,runtime_ms
grid_ce,0,-803.06,5.17733
grid_exact,0,-770.763,5.12471
grid_ut,0,-770.763,5.19125
pf_ce,0,-828.844,8.85271
copf_ce,0,-803.332,130.242
pf_ce,1,-837.22,9.50596
copf_ce,1,-803.703,120.961
pf_ce,2,-832.667,9.34096
copf_ce,2,-802.807,122.376
pf_ce,3,-835.746,9.84617
copf_ce,3,-802.889,122.062
pf_ce,4,-860.518,9.55658
copf_ce,4,-804.107,115.441
pf_ce,5,-831.14,10.7028
copf_ce,5,-802.932,130.759
pf_ce,6,-843.129,9.34625
copf_ce,6,-803.009,117.627
pf_ce,7,-839.546,9.09304
copf_ce,7,-804.044,121.855
pf_ce,8,-829.656,9.73304
copf_ce,8,-803.099,123.865
pf_ce,9,-824.674,8.83638
copf_ce,9,-801.655,114.778
pf_ce,10,-820.383,9.64108
copf_ce,10,-802.719,124.725
pf_ce,11,-821.841,9.74467
copf_ce,11,-803.346,120.867
pf_ce,12,-842.095,9.168
copf_ce,12,-803.871,116.832
pf_ce,13,-836.959,10.0943
copf_ce,13,-802.31,121.403
pf_ce,14,-835.3,10.3981
copf_ce,14,-803.566,118.477
pf_ce,15,-826.192,9.79346
copf_ce,15,-803.993,115.273
pf_ce,16,-851.917,10.0971
copf_ce,16,-803.824,125.178
pf_ce,17,-806.937,10.2004
copf_ce,17,-803.542,120.55
pf_ce,18,-810.995,9.68829
copf_ce,18,-804.744,123.988
pf_ce,19,-830.67,9.11546
copf_ce,19,-803.781,119.542
pf_exact,0,-784.503,9.49746
copf_exact,0,-770.402,128.652
pf_exact,1,-774.77,9.50917
copf_exact,1,-771.925,126.655
pf_exact,2,-776.802,9.76383
copf_exact,2,-771.302,126.633
pf_exact,3,-786.399,9.46471
copf_exact,3,-770.489,128.358
pf_exact,4,-770.515,9.7955
copf_exact,4,-770.814,126.732
pf_exact,5,-787.117,9.3525
copf_exact,5,-771.96,128.285
pf_exact,6,-770.301,10.0896
copf_exact,6,-771.364,125.312
pf_exact,7,-782.622,9.60954
copf_exact,7,-770.032,126.118
pf_exact,8,-770.259,8.65346
copf_exact,8,-771.487,125.425
pf_exact,9,-770.937,9.78021
copf_exact,9,-771.336,121.479
pf_exact,10,-771.212,9.44262
copf_exact,10,-771.094,123.426
pf_exact,11,-776.307,9.08717
copf_exact,11,-770.892,121.523
pf_exact,12,-771.633,9.335
copf_exact,12,-771.152,128.341
pf_exact,13,-776.389,10.3415
copf_exact,13,-770.638,119.787
pf_exact,14,-772.308,9.66696
copf_exact,14,-770.62,121.933
pf_exact,15,-782.801,9.73517
copf_exact,15,-770.802,122.733
pf_exact,16,-777.96,9.88588
copf_exact,16,-771.614,127.85
pf_exact,17,-767.27,9.90987
copf_exact,17,-770.574,123.481
pf_exact,18,-768.778,9.00992
copf_exact,18,-770.435,121.493
pf_exact,19,-773.448,10.4729
copf_exact,19,-771.231,118.505
pf_ut,0,-784.503,9.3725
copf_ut,0,-770.402,120.506
pf_ut,1,-774.77,8.88929
copf_ut,1,-771.925,116.296
pf_ut,2,-776.802,8.48871
copf_ut,2,-771.302,124.699
pf_ut,3,-786.399,9.60629
copf_ut,3,-770.989,118.807
pf_ut,4,-770.515,9.54637
copf_ut,4,-770.814,124.7
pf_ut,5,-787.117,9.99679
copf_ut,5,-772.096,124.257
pf_ut,6,-772.695,9.43692
copf_ut,6,-771.364,126.67
pf_ut,7,-782.622,8.95192
copf_ut,7,-770.032,119.163
pf_ut,8,-770.259,9.50346
copf_ut,8,-771.453,118.646
pf_ut,9,-771.188,9.42625
copf_ut,9,-771.336,120.709
pf_ut,10,-771.212,9.60771
copf_ut,10,-770.842,129.273
pf_ut,11,-776.307,9.46233
copf_ut,11,-771.065,125.214
pf_ut,12,-771.633,9.33608
copf_ut,12,-771.152,117.663
pf_ut,13,-776.448,9.36354
copf_ut,13,-770.638,123.246
pf_ut,14,-772.308,8.05642
copf_ut,14,-770.62,121.084
pf_ut,15,-782.801,9.47704
copf_ut,15,-770.802,119.496
pf_ut,16,-777.96,9.24471
copf_ut,16,-771.614,120
pf_ut,17,-767.27,9.66767
copf_ut,17,-770.634,115.779
pf_ut,18,-768.778,9.21146
copf_ut,18,-770.435,123.097
pf_ut,19,-772.515,10.3476
copf_ut,19,-771.231,131.335
