t,x,y
0,0.00746002,244.029
1,0.0103789,233.275
2,0.0157688,215.767
3,0.0150611,216.867
4,0.00616067,264.84
5,0.00797847,252.027
6,-0.0022654,302.311
7,-0.00270214,283.144
8,-0.00322769,310.699
9,0.00266844,270.55
10,0.00452875,251.72
11,0.000427899,280.27
12,-0.00032042,284.802
13,-0.00426281,313.982
14,-0.00205948,312.411
15,0.00334191,255.967
16,0.00379564,259.575
17,0.00968848,249.443
18,0.0124188,220.41
19,0.00553266,250.067
20,0.000195685,280.249
21,-0.000480794,294.059
22,-0.0134313,364.916
23,-0.0174518,386.166
24,-0.0228923,438.337
25,-0.015504,390.74
26,-0.0112392,338.981
27,-0.012112,368.36
28,-0.00316537,292.759
29,-0.0041009,334.692
30,-0.0052416,307.252
31,0.00348396,281.44
32,0.00611334,263.347
33,0.00200987,272.749
34,0.014575,221.008
35,0.00576299,261.766
36,0.00863505,252.346
37,0.00718967,248.257
38,-0.00196838,301.717
39,-0.00693792,331.778
40,-0.00455368,323.093
41,-0.00961409,338.956
42,-0.00545921,307.841
43,-0.0180377,410.053
44,-0.0182791,406.639
45,-0.0164776,382.609
46,-0.0141153,368.319
47,-0.000633504,279.803
48,0.00521198,256.192
49,0.00396461,266.915
50,-0.00569801,291.192
51,-0.014139,360.632
52,-0.0129795,352.486
53,0.00208571,281.675
54,-0.0023982,303.403
55,-0.013528,357.764
56,-0.0157505,387.911
57,-0.0135812,378.033
58,-0.0059773,336.032
59,-0.00323904,295.603
60,-0.0133066,366.237
61,-0.0216178,415.736
62,-0.0250742,445.182
63,-0.0248939,463.609
64,-0.0169121,378.703
65,-0.0211652,429.355
66,-0.0360317,560.715
67,-0.0366229,553.3
68,-0.0340791,521.866
69,-0.0291521,489.318
70,-0.0410137,612.122
71,-0.0474902,695.206
72,-0.0411311,618.468
73,-0.044475,650.177
74,-0.0397221,599.562
75,-0.0373186,572.089
76,-0.0245021,451.747
77,-0.0139489,361.316
78,-0.00642536,325.629
79,-0.00101518,283.397
80,-0.0046915,305.57
81,-0.0110508,337.305
82,-0.0128662,358.185
83,-0.0114714,365.588
84,-0.00878675,336.377
85,-0.0155979,393.804
86,-0.0221238,436.362
87,-0.0413068,617.214
88,-0.037761,561.469
89,-0.0409027,601.126
90,-0.0418521,628.271
91,-0.0408732,614.215
92,-0.0377386,561.586
93,-0.0284228,495.63
94,-0.0282612,466.735
95,-0.0172519,385.895
96,-0.0202815,397.239
97,-0.0216725,428.017
98,-0.0126756,378.815
99,-0.0164003,380.67
100,-0.0133202,355.584
101,-0.0128274,351.844
102,-0.00936629,337.128
103,-0.0133034,368.064
104,-0.0105318,329.29
105,-0.0192563,403.804
106,-0.00594767,312.747
107,-0.00951584,359.219
108,-0.00111517,302.076
109,-0.00345821,320.231
110,-0.00060987,285.902
111,9.49091e-05,282.668
112,-0.00593974,319.968
113,-0.00521061,317.569
114,-0.00699118,348.584
115,-0.00864202,346.286
116,-0.00457338,307.327
117,0.00101344,281.35
118,0.0107023,253.355
119,0.0139219,218.161
120,0.0125736,223.9
121,0.0143705,224.254
122,0.00301898,263.725
123,-0.00585654,302.14
124,-0.00520072,308.639
125,-0.00454682,314.66
126,-0.00121764,299.341
127,-0.00272707,298.352
128,0.00771384,253.906
129,-0.00829119,322.149
130,0.00383751,271.869
131,0.00877967,242.948
132,0.00683991,255.281
133,0.00432948,269.839
134,0.00216549,264.083
135,0.00559955,252.272
136,0.00577682,264.387
137,-0.00183311,293.6
138,-0.00513477,316.207
139,0.00390113,264.867
140,-0.00667367,326.574
141,-0.0032522,316.238
142,0.00448298,248.139
143,0.00316481,281.876
144,0.0133853,241.057
145,0.0140005,215.49
146,0.0124001,233.568
147,0.010789,223.045
148,0.000292167,288.714
149,-0.00166793,297.3
