method,t,ess
occbin_bootstrap_pf,0,3.99063
occbin_bootstrap_pf,1,9.93575
occbin_bootstrap_pf,2,12.3856
occbin_bootstrap_pf,3,40.5219
occbin_bootstrap_pf,4,31.9533
occbin_bootstrap_pf,5,44.0754
occbin_bootstrap_pf,6,14.5434
occbin_bootstrap_pf,7,43.8819
occbin_bootstrap_pf,8,50.713
occbin_bootstrap_pf,9,18.226
occbin_bootstrap_pf,10,24.8894
occbin_bootstrap_pf,11,16.3829
occbin_bootstrap_pf,12,11.5241
occbin_bootstrap_pf,13,40.7337
occbin_bootstrap_pf,14,26.068
occbin_bootstrap_pf,15,23.28
occbin_bootstrap_pf,16,33.0613
occbin_bootstrap_pf,17,47.6186
occbin_bootstrap_pf,18,43.6627
occbin_bootstrap_pf,19,49.8436
occbin_bootstrap_pf,20,39.1882
occbin_bootstrap_pf,21,14.9339
occbin_bootstrap_pf,22,47.2126
occbin_bootstrap_pf,23,37.9352
occbin_bootstrap_pf,24,16.3709
occbin_bootstrap_pf,25,20.472
occbin_bootstrap_pf,26,26.6859
occbin_bootstrap_pf,27,23.7286
occbin_bootstrap_pf,28,39.2277
occbin_bootstrap_pf,29,10.1754
occbin_bootstrap_pf,30,36.1539
occbin_bootstrap_pf,31,1.43682
occbin_bootstrap_pf,32,52.7553
occbin_bootstrap_pf,33,49.8083
occbin_bootstrap_pf,34,26.2798
occbin_bootstrap_pf,35,47.6329
occbin_bootstrap_pf,36,19.7165
occbin_bootstrap_pf,37,18.2006
occbin_bootstrap_pf,38,15.2126
occbin_bootstrap_pf,39,2.69689
occbin_bootstrap_pf,40,38.0173
occbin_bootstrap_pf,41,14.6365
occbin_bootstrap_pf,42,50.633
occbin_bootstrap_pf,43,7.23587
occbin_bootstrap_pf,44,47.7923
occbin_bootstrap_pf,45,12.0377
occbin_bootstrap_pf,46,22.2459
occbin_bootstrap_pf,47,36.0712
occbin_bootstrap_pf,48,32.3689
occbin_bootstrap_pf,49,19.8507
occbin_bootstrap_pf,50,44.2516
occbin_bootstrap_pf,51,23.826
occbin_bootstrap_pf,52,10.8047
occbin_bootstrap_pf,53,23.0969
occbin_bootstrap_pf,54,14.7259
occbin_bootstrap_pf,55,43.4687
occbin_bootstrap_pf,56,49.7071
occbin_bootstrap_pf,57,31.7511
occbin_bootstrap_pf,58,2.55985
occbin_bootstrap_pf,59,4.03824
occbin_bootstrap_pf,60,35.3268
occbin_bootstrap_pf,61,38.421
occbin_bootstrap_pf,62,19.177
occbin_bootstrap_pf,63,17.9229
occbin_bootstrap_pf,64,10.5148
occbin_bootstrap_pf,65,46.631
occbin_bootstrap_pf,66,36.1625
occbin_bootstrap_pf,67,53.3531
occbin_bootstrap_pf,68,22.2256
occbin_bootstrap_pf,69,49.5521
occbin_bootstrap_pf,70,45.9318
occbin_bootstrap_pf,71,22.352
occbin_bootstrap_pf,72,9.17079
occbin_bootstrap_pf,73,19.8494
occbin_bootstrap_pf,74,17.8176
occbin_bootstrap_pf,75,22.0355
occbin_bootstrap_pf,76,17.6361
occbin_bootstrap_pf,77,25.1151
occbin_bootstrap_pf,78,19.527
occbin_bootstrap_pf,79,29.8731
occbin_bootstrap_pf,80,17.6528
occbin_bootstrap_pf,81,44.5948
occbin_bootstrap_pf,82,41.6844
occbin_bootstrap_pf,83,50.0984
occbin_bootstrap_pf,84,43.6791
occbin_bootstrap_pf,85,44.3735
occbin_bootstrap_pf,86,42.3184
occbin_bootstrap_pf,87,43.2447
occbin_bootstrap_pf,88,35.8131
occbin_bootstrap_pf,89,26.1789
occbin_bootstrap_pf,90,14.159
occbin_bootstrap_pf,91,14.1162
occbin_bootstrap_pf,92,16.3919
occbin_bootstrap_pf,93,37.1173
occbin_bootstrap_pf,94,48.0919
occbin_bootstrap_pf,95,6.45636
occbin_bootstrap_pf,96,7.1653
occbin_bootstrap_pf,97,47.3086
occbin_bootstrap_pf,98,30.0201
occbin_bootstrap_pf,99,23.3118
occbin_bootstrap_pf,100,28.1496
occbin_bootstrap_pf,101,7.24437
occbin_bootstrap_pf,102,50.6098
occbin_bootstrap_pf,103,32.4727
occbin_bootstrap_pf,104,42.7005
occbin_bootstrap_pf,105,17.6273
occbin_bootstrap_pf,106,28.0637
occbin_bootstrap_pf,107,20.5666
occbin_bootstrap_pf,108,2.99975
occbin_bootstrap_pf,109,40.6532
occbin_bootstrap_pf,110,24.3257
occbin_bootstrap_pf,111,30.3562
occbin_bootstrap_pf,112,45.7998
occbin_bootstrap_pf,113,1.01366
occbin_bootstrap_pf,114,6.4664
occbin_bootstrap_pf,115,29.501
occbin_bootstrap_pf,116,48.0188
occbin_bootstrap_pf,117,23.0618
occbin_bootstrap_pf,118,18.3093
occbin_bootstrap_pf,119,21.3617
occbin_bootstrap_pf,120,1.00225
occbin_bootstrap_pf,121,31.496
occbin_bootstrap_pf,122,24.6896
occbin_bootstrap_pf,123,18.8096
occbin_bootstrap_pf,124,20.0644
occbin_bootstrap_pf,125,41.6149
occbin_bootstrap_pf,126,45.8378
occbin_bootstrap_pf,127,43.1401
occbin_bootstrap_pf,128,43.4995
occbin_bootstrap_pf,129,22.0382
occbin_bootstrap_pf,130,47.2765
occbin_bootstrap_pf,131,18.1925
occbin_bootstrap_pf,132,18.7419
occbin_bootstrap_pf,133,37.7233
occbin_bootstrap_pf,134,29.2529
occbin_bootstrap_pf,135,34.7868
occbin_bootstrap_pf,136,31.7567
occbin_bootstrap_pf,137,24.1015
occbin_bootstrap_pf,138,1.62367
occbin_bootstrap_pf,139,3.73655
occbin_bootstrap_pf,140,12.4554
occbin_bootstrap_pf,141,7.20123
occbin_bootstrap_pf,142,25.1433
occbin_bootstrap_pf,143,23.0489
occbin_bootstrap_pf,144,23.7071
occbin_bootstrap_pf,145,16.7099
occbin_bootstrap_pf,146,27.5743
occbin_bootstrap_pf,147,35.1146
occbin_bootstrap_pf,148,20.0663
occbin_bootstrap_pf,149,17.5899
occbin_bootstrap_pf,150,41.9057
occbin_bootstrap_pf,151,41.99
occbin_bootstrap_pf,152,18.0369
occbin_bootstrap_pf,153,25.1639
occbin_bootstrap_pf,154,2.37734
occbin_bootstrap_pf,155,30.7467
occbin_bootstrap_pf,156,24.3587
occbin_bootstrap_pf,157,27.5685
occbin_bootstrap_pf,158,35.3419
occbin_bootstrap_pf,159,52.1412
occbin_bootstrap_pf,160,12.1242
occbin_bootstrap_pf,161,37.5033
occbin_bootstrap_pf,162,41.0208
occbin_bootstrap_pf,163,20.6512
occbin_bootstrap_pf,164,21.0181
occbin_bootstrap_pf,165,48.552
occbin_bootstrap_pf,166,34.9145
occbin_bootstrap_pf,167,37.2967
occbin_bootstrap_pf,168,47.5783
occbin_bootstrap_pf,169,21.3433
occbin_bootstrap_pf,170,6.27627
occbin_bootstrap_pf,171,3.49979
occbin_bootstrap_pf,172,13.8918
occbin_bootstrap_pf,173,31.7291
occbin_bootstrap_pf,174,31.164
occbin_bootstrap_pf,175,31.0191
occbin_bootstrap_pf,176,48.9042
occbin_bootstrap_pf,177,15.6431
occbin_bootstrap_pf,178,22.7098
occbin_bootstrap_pf,179,24.7408
occbin_bootstrap_pf,180,34.639
occbin_bootstrap_pf,181,35.8282
occbin_bootstrap_pf,182,18.4154
occbin_bootstrap_pf,183,29.8054
occbin_bootstrap_pf,184,24.6015
occbin_bootstrap_pf,185,46.4981
occbin_bootstrap_pf,186,43.7705
occbin_bootstrap_pf,187,45.1885
occbin_bootstrap_pf,188,48.5878
occbin_bootstrap_pf,189,18.7872
occbin_bootstrap_pf,190,8.95388
occbin_bootstrap_pf,191,32.4638
occbin_bootstrap_pf,192,28.6905
occbin_bootstrap_pf,193,34.1875
occbin_bootstrap_pf,194,9.92952
occbin_bootstrap_pf,195,44.8499
occbin_bootstrap_pf,196,28.8748
occbin_bootstrap_pf,197,25.0348
occbin_bootstrap_pf,198,17.6203
occbin_bootstrap_pf,199,29.559
occbin_bootstrap_pf,200,18.8381
occbin_bootstrap_pf,201,5.58753
occbin_bootstrap_pf,202,25.6076
occbin_bootstrap_pf,203,18.2298
occbin_bootstrap_pf,204,47.7036
occbin_bootstrap_pf,205,3.98043
occbin_bootstrap_pf,206,19.9974
occbin_bootstrap_pf,207,39.2494
occbin_bootstrap_pf,208,10.1992
occbin_bootstrap_pf,209,31.5265
occbin_bootstrap_pf,210,11.4425
occbin_bootstrap_pf,211,53.3897
occbin_bootstrap_pf,212,41.6382
occbin_bootstrap_pf,213,39.8732
occbin_bootstrap_pf,214,29.9457
occbin_bootstrap_pf,215,32.9631
occbin_bootstrap_pf,216,18.6509
occbin_bootstrap_pf,217,36.0669
occbin_bootstrap_pf,218,8.16049
occbin_bootstrap_pf,219,29.8162
occbin_bootstrap_pf,220,8.06269
occbin_bootstrap_pf,221,45.7869
occbin_bootstrap_pf,222,7.97987
occbin_bootstrap_pf,223,33.4063
occbin_bootstrap_pf,224,30.915
occbin_bootstrap_pf,225,19.169
occbin_bootstrap_pf,226,24.2706
occbin_bootstrap_pf,227,34.603
occbin_bootstrap_pf,228,27.3207
occbin_bootstrap_pf,229,35.2091
occbin_bootstrap_pf,230,11.3621
occbin_bootstrap_pf,231,42.8033
occbin_bootstrap_pf,232,27.3512
occbin_bootstrap_pf,233,3.6639
occbin_bootstrap_pf,234,38.9035
occbin_bootstrap_pf,235,55.8163
occbin_bootstrap_pf,236,9.43726
occbin_bootstrap_pf,237,33.9895
occbin_bootstrap_pf,238,37.7975
occbin_bootstrap_pf,239,34.6668
occbin_bootstrap_pf,240,12.6834
occbin_bootstrap_pf,241,21.742
occbin_bootstrap_pf,242,42.4983
occbin_bootstrap_pf,243,3.27893
occbin_bootstrap_pf,244,36.4927
occbin_bootstrap_pf,245,21.3077
occbin_bootstrap_pf,246,2.80917
occbin_bootstrap_pf,247,24.9615
occbin_bootstrap_pf,248,25.6547
occbin_bootstrap_pf,249,49.2598
pppf_mixture_rbpf,0,256
pppf_mixture_rbpf,1,183.835
pppf_mixture_rbpf,2,151.263
pppf_mixture_rbpf,3,148.631
pppf_mixture_rbpf,4,146.658
pppf_mixture_rbpf,5,137.931
pppf_mixture_rbpf,6,126.807
pppf_mixture_rbpf,7,255.087
pppf_mixture_rbpf,8,254.517
pppf_mixture_rbpf,9,253.666
pppf_mixture_rbpf,10,233.801
pppf_mixture_rbpf,11,220.532
pppf_mixture_rbpf,12,198.735
pppf_mixture_rbpf,13,191.998
pppf_mixture_rbpf,14,100.549
pppf_mixture_rbpf,15,252.763
pppf_mixture_rbpf,16,250.969
pppf_mixture_rbpf,17,248.951
pppf_mixture_rbpf,18,201.87
pppf_mixture_rbpf,19,215.467
pppf_mixture_rbpf,20,170.05
pppf_mixture_rbpf,21,187.199
pppf_mixture_rbpf,22,169.465
pppf_mixture_rbpf,23,140.498
pppf_mixture_rbpf,24,122.649
pppf_mixture_rbpf,25,247.282
pppf_mixture_rbpf,26,220.874
pppf_mixture_rbpf,27,229.182
pppf_mixture_rbpf,28,211.98
pppf_mixture_rbpf,29,192.799
pppf_mixture_rbpf,30,181.824
pppf_mixture_rbpf,31,129.418
pppf_mixture_rbpf,32,129.521
pppf_mixture_rbpf,33,129.805
pppf_mixture_rbpf,34,129.186
pppf_mixture_rbpf,35,129.303
pppf_mixture_rbpf,36,113.658
pppf_mixture_rbpf,37,156.205
pppf_mixture_rbpf,38,47.8364
pppf_mixture_rbpf,39,175.389
pppf_mixture_rbpf,40,142.163
pppf_mixture_rbpf,41,149.411
pppf_mixture_rbpf,42,142.567
pppf_mixture_rbpf,43,102.248
pppf_mixture_rbpf,44,252.132
pppf_mixture_rbpf,45,235.979
pppf_mixture_rbpf,46,216.571
pppf_mixture_rbpf,47,206.167
pppf_mixture_rbpf,48,194.227
pppf_mixture_rbpf,49,174.723
pppf_mixture_rbpf,50,159.682
pppf_mixture_rbpf,51,134.357
pppf_mixture_rbpf,52,120.07
pppf_mixture_rbpf,53,226.57
pppf_mixture_rbpf,54,211.817
pppf_mixture_rbpf,55,201.123
pppf_mixture_rbpf,56,200.809
pppf_mixture_rbpf,57,159.572
pppf_mixture_rbpf,58,62.9885
pppf_mixture_rbpf,59,254.658
pppf_mixture_rbpf,60,253.007
pppf_mixture_rbpf,61,248.311
pppf_mixture_rbpf,62,235.258
pppf_mixture_rbpf,63,227.274
pppf_mixture_rbpf,64,190.423
pppf_mixture_rbpf,65,165.133
pppf_mixture_rbpf,66,159.76
pppf_mixture_rbpf,67,148.927
pppf_mixture_rbpf,68,139.213
pppf_mixture_rbpf,69,127.379
pppf_mixture_rbpf,70,255.424
pppf_mixture_rbpf,71,247.444
pppf_mixture_rbpf,72,202.567
pppf_mixture_rbpf,73,198.598
pppf_mixture_rbpf,74,190.772
pppf_mixture_rbpf,75,180.164
pppf_mixture_rbpf,76,167.682
pppf_mixture_rbpf,77,174.081
pppf_mixture_rbpf,78,156.12
pppf_mixture_rbpf,79,157.257
pppf_mixture_rbpf,80,156.174
pppf_mixture_rbpf,81,154.282
pppf_mixture_rbpf,82,156.302
pppf_mixture_rbpf,83,153.934
pppf_mixture_rbpf,84,118.738
pppf_mixture_rbpf,85,252.041
pppf_mixture_rbpf,86,159.954
pppf_mixture_rbpf,87,105.522
pppf_mixture_rbpf,88,251.715
pppf_mixture_rbpf,89,249.745
pppf_mixture_rbpf,90,241.107
pppf_mixture_rbpf,91,234.85
pppf_mixture_rbpf,92,231.666
pppf_mixture_rbpf,93,229.983
pppf_mixture_rbpf,94,227.235
pppf_mixture_rbpf,95,221.271
pppf_mixture_rbpf,96,190.147
pppf_mixture_rbpf,97,139.411
pppf_mixture_rbpf,98,130.456
pppf_mixture_rbpf,99,66.5172
pppf_mixture_rbpf,100,252.523
pppf_mixture_rbpf,101,206.266
pppf_mixture_rbpf,102,195.925
pppf_mixture_rbpf,103,194.73
pppf_mixture_rbpf,104,192.529
pppf_mixture_rbpf,105,172.53
pppf_mixture_rbpf,106,165.365
pppf_mixture_rbpf,107,151.221
pppf_mixture_rbpf,108,141.085
pppf_mixture_rbpf,109,134.814
pppf_mixture_rbpf,110,136.33
pppf_mixture_rbpf,111,134.229
pppf_mixture_rbpf,112,128.215
pppf_mixture_rbpf,113,89.7057
pppf_mixture_rbpf,114,221.784
pppf_mixture_rbpf,115,212.615
pppf_mixture_rbpf,116,179.768
pppf_mixture_rbpf,117,163.96
pppf_mixture_rbpf,118,160.136
pppf_mixture_rbpf,119,134.993
pppf_mixture_rbpf,120,87.9827
pppf_mixture_rbpf,121,235.047
pppf_mixture_rbpf,122,233.41
pppf_mixture_rbpf,123,202.03
pppf_mixture_rbpf,124,171.885
pppf_mixture_rbpf,125,169.292
pppf_mixture_rbpf,126,163.478
pppf_mixture_rbpf,127,159.674
pppf_mixture_rbpf,128,151.914
pppf_mixture_rbpf,129,149.69
pppf_mixture_rbpf,130,140.458
pppf_mixture_rbpf,131,110.408
pppf_mixture_rbpf,132,237.346
pppf_mixture_rbpf,133,224.084
pppf_mixture_rbpf,134,217.048
pppf_mixture_rbpf,135,208.079
pppf_mixture_rbpf,136,192.306
pppf_mixture_rbpf,137,161.247
pppf_mixture_rbpf,138,146.494
pppf_mixture_rbpf,139,120.44
pppf_mixture_rbpf,140,227.925
pppf_mixture_rbpf,141,185.136
pppf_mixture_rbpf,142,185.114
pppf_mixture_rbpf,143,184.353
pppf_mixture_rbpf,144,171.829
pppf_mixture_rbpf,145,154.294
pppf_mixture_rbpf,146,156.917
pppf_mixture_rbpf,147,153.767
pppf_mixture_rbpf,148,145.144
pppf_mixture_rbpf,149,142.698
pppf_mixture_rbpf,150,140.013
pppf_mixture_rbpf,151,95.8266
pppf_mixture_rbpf,152,247.191
pppf_mixture_rbpf,153,247.996
pppf_mixture_rbpf,154,213.131
pppf_mixture_rbpf,155,214.84
pppf_mixture_rbpf,156,217.66
pppf_mixture_rbpf,157,217.205
pppf_mixture_rbpf,158,217.272
pppf_mixture_rbpf,159,212.935
pppf_mixture_rbpf,160,212.766
pppf_mixture_rbpf,161,213
pppf_mixture_rbpf,162,198.597
pppf_mixture_rbpf,163,186.543
pppf_mixture_rbpf,164,177.664
pppf_mixture_rbpf,165,174.831
pppf_mixture_rbpf,166,174.264
pppf_mixture_rbpf,167,169.985
pppf_mixture_rbpf,168,168.919
pppf_mixture_rbpf,169,167.985
pppf_mixture_rbpf,170,165.918
pppf_mixture_rbpf,171,160.69
pppf_mixture_rbpf,172,153.869
pppf_mixture_rbpf,173,151.139
pppf_mixture_rbpf,174,139.889
pppf_mixture_rbpf,175,143.966
pppf_mixture_rbpf,176,102.069
pppf_mixture_rbpf,177,238.476
pppf_mixture_rbpf,178,162.654
pppf_mixture_rbpf,179,160.235
pppf_mixture_rbpf,180,156.213
pppf_mixture_rbpf,181,153.916
pppf_mixture_rbpf,182,147.318
pppf_mixture_rbpf,183,139.279
pppf_mixture_rbpf,184,127.355
pppf_mixture_rbpf,185,253.567
pppf_mixture_rbpf,186,250.717
pppf_mixture_rbpf,187,224.125
pppf_mixture_rbpf,188,193.472
pppf_mixture_rbpf,189,165.551
pppf_mixture_rbpf,190,173.377
pppf_mixture_rbpf,191,174.903
pppf_mixture_rbpf,192,170.324
pppf_mixture_rbpf,193,131.141
pppf_mixture_rbpf,194,113.562
pppf_mixture_rbpf,195,247.086
pppf_mixture_rbpf,196,238.03
pppf_mixture_rbpf,197,232.908
pppf_mixture_rbpf,198,201.254
pppf_mixture_rbpf,199,168.219
pppf_mixture_rbpf,200,151.464
pppf_mixture_rbpf,201,85.412
pppf_mixture_rbpf,202,244.942
pppf_mixture_rbpf,203,207.373
pppf_mixture_rbpf,204,197.849
pppf_mixture_rbpf,205,149.53
pppf_mixture_rbpf,206,145.233
pppf_mixture_rbpf,207,151.438
pppf_mixture_rbpf,208,130.663
pppf_mixture_rbpf,209,125.446
pppf_mixture_rbpf,210,253.073
pppf_mixture_rbpf,211,252.939
pppf_mixture_rbpf,212,248.309
pppf_mixture_rbpf,213,224.563
pppf_mixture_rbpf,214,212.05
pppf_mixture_rbpf,215,215.062
pppf_mixture_rbpf,216,200.217
pppf_mixture_rbpf,217,192.574
pppf_mixture_rbpf,218,192.865
pppf_mixture_rbpf,219,191.134
pppf_mixture_rbpf,220,190.99
pppf_mixture_rbpf,221,190.832
pppf_mixture_rbpf,222,86.8895
pppf_mixture_rbpf,223,172.423
pppf_mixture_rbpf,224,158.449
pppf_mixture_rbpf,225,126.458
pppf_mixture_rbpf,226,229.432
pppf_mixture_rbpf,227,214.753
pppf_mixture_rbpf,228,208.324
pppf_mixture_rbpf,229,194.697
pppf_mixture_rbpf,230,152.144
pppf_mixture_rbpf,231,97.6357
pppf_mixture_rbpf,232,239.109
pppf_mixture_rbpf,233,190.973
pppf_mixture_rbpf,234,171.827
pppf_mixture_rbpf,235,168.649
pppf_mixture_rbpf,236,146.577
pppf_mixture_rbpf,237,143.51
pppf_mixture_rbpf,238,139.34
pppf_mixture_rbpf,239,132.813
pppf_mixture_rbpf,240,130.323
pppf_mixture_rbpf,241,131.094
pppf_mixture_rbpf,242,120.662
pppf_mixture_rbpf,243,218.169
pppf_mixture_rbpf,244,190.287
pppf_mixture_rbpf,245,158
pppf_mixture_rbpf,246,110.159
pppf_mixture_rbpf,247,241.948
pppf_mixture_rbpf,248,226.469
pppf_mixture_rbpf,249,224.335
plc_copf_pf,0,19.7427
plc_copf_pf,1,187.235
plc_copf_pf,2,153.074
plc_copf_pf,3,152.086
plc_copf_pf,4,132.648
plc_copf_pf,5,71.5819
plc_copf_pf,6,208.214
plc_copf_pf,7,178.951
plc_copf_pf,8,144.149
plc_copf_pf,9,101.939
plc_copf_pf,10,187.973
plc_copf_pf,11,60.8938
plc_copf_pf,12,204.548
plc_copf_pf,13,151.174
plc_copf_pf,14,124.654
plc_copf_pf,15,206.58
plc_copf_pf,16,191.126
plc_copf_pf,17,151.694
plc_copf_pf,18,130.765
plc_copf_pf,19,111.227
plc_copf_pf,20,206.743
plc_copf_pf,21,12.8059
plc_copf_pf,22,178.766
plc_copf_pf,23,153.388
plc_copf_pf,24,134.962
plc_copf_pf,25,119.655
plc_copf_pf,26,208.8
plc_copf_pf,27,119.376
plc_copf_pf,28,205.403
plc_copf_pf,29,44.5847
plc_copf_pf,30,143.856
plc_copf_pf,31,30.8556
plc_copf_pf,32,238.309
plc_copf_pf,33,232.378
plc_copf_pf,34,201.132
plc_copf_pf,35,195.563
plc_copf_pf,36,132.42
plc_copf_pf,37,97.6736
plc_copf_pf,38,230.161
plc_copf_pf,39,71.6536
plc_copf_pf,40,244.268
plc_copf_pf,41,175.954
plc_copf_pf,42,172.002
plc_copf_pf,43,142.681
plc_copf_pf,44,139.923
plc_copf_pf,45,100.984
plc_copf_pf,46,237.626
plc_copf_pf,47,208.597
plc_copf_pf,48,203.995
plc_copf_pf,49,174.091
plc_copf_pf,50,173.41
plc_copf_pf,51,170.457
plc_copf_pf,52,46.5107
plc_copf_pf,53,174.083
plc_copf_pf,54,149.366
plc_copf_pf,55,132.544
plc_copf_pf,56,117.597
plc_copf_pf,57,165.53
plc_copf_pf,58,11.4276
plc_copf_pf,59,134.674
plc_copf_pf,60,125.493
plc_copf_pf,61,195.473
plc_copf_pf,62,137.892
plc_copf_pf,63,137.771
plc_copf_pf,64,61.0093
plc_copf_pf,65,250.435
plc_copf_pf,66,229.242
plc_copf_pf,67,221.847
plc_copf_pf,68,176.355
plc_copf_pf,69,172.967
plc_copf_pf,70,168.841
plc_copf_pf,71,161.059
plc_copf_pf,72,134.212
plc_copf_pf,73,105.195
plc_copf_pf,74,238.17
plc_copf_pf,75,214.917
plc_copf_pf,76,167.312
plc_copf_pf,77,132.475
plc_copf_pf,78,108.774
plc_copf_pf,79,109.475
plc_copf_pf,80,42.4507
plc_copf_pf,81,212.966
plc_copf_pf,82,178.551
plc_copf_pf,83,150.009
