t,x_global,pi_global,i_global,x_occbin,pi_occbin,i_occbin,x_pppf,pi_pppf,i_pppf,x_plc,pi_plc,i_plc
0,-0.0185342,-0.00851165,0.018309,-0.0269873,-0.0287726,0,-0.0450526,-0.0334878,0.0186758,-0.0185342,-0.00851165,0.018309
1,-0.016515,-0.00672549,0.0218221,-0.020497,-0.0264732,0,-0.1403,-0.065499,0.130071,-0.018829,-0.00798167,0.0197466
2,-0.0146384,-0.00512524,0.0246992,-0.0165675,-0.0247776,0,-0.126502,-0.0601944,0.152734,-0.0191091,-0.00747818,0.0211123
3,-0.0130839,-0.00369838,0.0272592,-0.0148513,-0.02345,0.0011122,-0.114602,-0.0553406,0.172165,-0.0193752,-0.00699987,0.0224098
4,-0.0117769,-0.00241413,0.0295628,-0.0141087,-0.0222775,0.00305659,-0.103893,-0.0508028,0.18952,-0.019628,-0.00654547,0.0236423
5,-0.0106593,-0.00124893,0.0316521,-0.0134033,-0.0211636,0.00490376,-0.0948783,-0.0469139,0.160793,-0.0198682,-0.0061138,0.0248133
6,-0.00968924,-0.000184841,0.0335589,-0.0127331,-0.0201054,0.00665857,-0.0870838,-0.0434994,0.171175,-0.0200963,-0.00570371,0.0259256
7,-0.0088364,0.000792003,0.0353077,-0.0120965,-0.0191002,0.00832565,-0.0796791,-0.0402556,0.18059,-0.0202618,-0.00529721,0.0269887
8,-0.00807866,0.00169257,0.0369181,-0.0114917,-0.0181451,0.00990936,-0.0726446,-0.037174,0.189167,-0.019662,-0.00466154,0.0280922
9,-0.00739947,0.00252569,0.0384056,-0.0109171,-0.0172379,0.0114139,-0.0659618,-0.0342465,0.197007,-0.0190923,-0.00405766,0.0291404
10,-0.00678625,0.00329862,0.0397835,-0.0103712,-0.016376,0.0128432,-0.0608158,-0.0318703,0.159238,-0.018551,-0.00348397,0.0301363
11,-0.00622922,0.00401742,0.0410628,-0.00985266,-0.0155572,0.014201,-0.0561241,-0.0296705,0.164245,-0.0180368,-0.00293897,0.0310824
12,-0.00572069,0.00468722,0.0422529,-0.00936003,-0.0147793,0.015491,-0.051667,-0.0275807,0.168864,-0.0175483,-0.00242121,0.0319811
13,-0.00525446,0.00531241,0.0433618,-0.00889203,-0.0140404,0.0167164,-0.0474327,-0.0255954,0.173134,-0.0170842,-0.00192935,0.0328349
14,-0.00482549,0.00589682,0.0443967,-0.00844743,-0.0133384,0.0178806,-0.0434102,-0.0237094,0.177088,-0.0166433,-0.00146207,0.0336461
15,-0.0044296,0.00644381,0.0453638,-0.00802505,-0.0126714,0.0189866,-0.0403395,-0.0221901,0.141468,-0.0162245,-0.00101816,0.0344166
16,-0.00406331,0.00695634,0.0462686,-0.0076238,-0.0120379,0.0200373,-0.0374333,-0.0207508,0.144109,-0.0158266,-0.00059645,0.0351487
17,-0.00372364,0.00743704,0.047116,-0.00724261,-0.011436,0.0210354,-0.0346724,-0.0193834,0.146566,-0.0154486,-0.000195822,0.0358441
18,-0.00340806,0.00788828,0.0479105,-0.00688048,-0.0108642,0.0219836,-0.0320496,-0.0180843,0.148854,-0.0150896,0.000184775,0.0365048
19,-0.00311436,0.00831221,0.048656,-0.00653646,-0.010321,0.0228844,-0.0295578,-0.0168502,0.150988,-0.0147484,0.000546342,0.0371324
20,-0.00284062,0.00871075,0.049356,-0.00620963,-0.00980491,0.0237402,-0.0275168,-0.0157957,0.120619,-0.0144243,0.00088983,0.0377287
21,-0.00258515,0.00908567,0.0500138,-0.00589915,-0.00931467,0.0245532,-0.025713,-0.0148429,0.122096,-0.0141165,0.00121614,0.0382951
22,-0.00234645,0.00943857,0.0506324,-0.00560419,-0.00884893,0.0253255,-0.0239993,-0.0139376,0.123477,-0.013824,0.00152614,0.0388332
23,-0.00212319,0.00977093,0.0512145,-0.00532398,-0.00840649,0.0260593,-0.0223714,-0.0130776,0.12477,-0.0135461,0.00182064,0.0393444
24,-0.00191416,0.0100841,0.0517626,-0.00505779,-0.00798616,0.0267563,-0.0208248,-0.0122607,0.125981,-0.0132822,0.00210042,0.0398301
25,-0.00171829,0.0103793,0.0522789,-0.0048049,-0.00758686,0.0274185,-0.0193556,-0.0114845,0.127117,-0.0130314,0.0023662,0.0402914
26,-0.0015346,0.0106577,0.0527654,-0.00456465,-0.00720751,0.0280476,-0.0181508,-0.0108158,0.102355,-0.0127932,0.0026187,0.0407298
27,-0.00136221,0.0109204,0.0532242,-0.00433642,-0.00684714,0.0286452,-0.0170834,-0.0102081,0.103173,-0.0125669,0.00285857,0.0411461
28,-0.0012003,0.0111683,0.053657,-0.0041196,-0.00650478,0.0292129,-0.0160693,-0.00963087,0.103942,-0.0123519,0.00308644,0.0415417
29,-0.00104816,0.0114023,0.0540654,-0.00391362,-0.00617954,0.0297523,-0.0151059,-0.00908247,0.104666,-0.0121476,0.00330293,0.0419175
30,-0.000905104,0.0116234,0.054451,-0.00371794,-0.00587056,0.0302647,-0.0141907,-0.0085615,0.105346,-0.0119536,0.00350859,0.0422745
31,-0.000770514,0.0118322,0.0548151,-0.00353204,-0.00557704,0.0307514,-0.0133213,-0.00806657,0.105987,-0.0117692,0.00370396,0.0426136
32,-0.000643825,0.0120296,0.0551591,-0.00335544,-0.00529818,0.0312139,-0.0124953,-0.00759639,0.10659,-0.0115941,0.00388957,0.0429358
33,-0.000524517,0.0122161,0.0554842,-0.00318767,-0.00503327,0.0316532,-0.0117719,-0.00717144,0.0872221,-0.0114278,0.0040659,0.0432419
34,-0.000412108,0.0123925,0.0557914,-0.00302828,-0.00478161,0.0320705,-0.011169,-0.00679759,0.0876772,-0.0112697,0.00423341,0.0435327
35,-0.000306154,0.0125593,0.0560819,-0.00287687,-0.00454253,0.032467,-0.0105961,-0.00644243,0.0881066,-0.0111196,0.00439254,0.0438089
36,-0.000206243,0.0127171,0.0563567,-0.00273303,-0.0043154,0.0328436,-0.010052,-0.00610503,0.0885118,-0.0109769,0.00454372,0.0440714
37,-0.000111997,0.0128663,0.0566166,-0.00259637,-0.00409963,0.0332015,-0.009535,-0.0057845,0.0888943,-0.0108414,0.00468734,0.0443207
38,-2.30605e-05,0.0130076,0.0568625,-0.00246656,-0.00389465,0.0335414,-0.00904388,-0.00547999,0.0892555,-0.0107127,0.00482378,0.0445575
39,6.08927e-05,0.0131413,0.0570952,-0.00234323,-0.00369992,0.0338643,-0.00857731,-0.00519072,0.0895967,-0.0105904,0.0049534,0.0447825
