method,rep,loglik,runtime_ms
global_discrete_exact,0,2495.02,7.42392
occbin_bootstrap_pf,0,2187.45,104.393
pppf_mixture_rbpf,0,2102.97,294.87
plc_copf_pf,0,2406.66,18.1828
occbin_bootstrap_pf,1,2203.16,103.448
pppf_mixture_rbpf,1,2108.98,289.919
plc_copf_pf,1,2404.96,18.5714
occbin_bootstrap_pf,2,2198.6,103.667
pppf_mixture_rbpf,2,2105.33,290.187
plc_copf_pf,2,2404.92,18.587
occbin_bootstrap_pf,3,2185.84,104.68
pppf_mixture_rbpf,3,2106.66,288.347
plc_copf_pf,3,2407.38,19.2321
occbin_bootstrap_pf,4,2200.01,104.347
pppf_mixture_rbpf,4,2108.27,290.956
plc_copf_pf,4,2405.79,18.5797
occbin_bootstrap_pf,5,2187.64,103.161
pppf_mixture_rbpf,5,2103.58,289.377
plc_copf_pf,5,2404.06,18.5009
occbin_bootstrap_pf,6,2201.86,102.815
pppf_mixture_rbpf,6,2103.25,289.784
plc_copf_pf,6,2408.55,18.4815
occbin_bootstrap_pf,7,2216.8,104.01
pppf_mixture_rbpf,7,2103.75,291.325
plc_copf_pf,7,2407.95,18.4888
occbin_bootstrap_pf,8,2197.02,104.443
pppf_mixture_rbpf,8,2105.49,292.684
plc_copf_pf,8,2406.58,18.5036
occbin_bootstrap_pf,9,2188.28,103.975
pppf_mixture_rbpf,9,2106.98,289.796
plc_copf_pf,9,2406.03,18.4282
occbin_bootstrap_pf,10,2192.93,103.595
pppf_mixture_rbpf,10,2103.11,292.221
plc_copf_pf,10,2405.2,18.3227
occbin_bootstrap_pf,11,2198.9,103.768
pppf_mixture_rbpf,11,2108.12,292.016
plc_copf_pf,11,2405.1,18.4767
occbin_bootstrap_pf,12,2194.72,103.783
pppf_mixture_rbpf,12,2107.95,290.36
plc_copf_pf,12,2403.5,18.466
occbin_bootstrap_pf,13,2213.47,104.195
pppf_mixture_rbpf,13,2107.8,290.642
plc_copf_pf,13,2406.47,18.6702
occbin_bootstrap_pf,14,2202,106.848
pppf_mixture_rbpf,14,2103.52,293.277
plc_copf_pf,14,2405.59,18.4444
occbin_bootstrap_pf,15,2189.01,104.116
pppf_mixture_rbpf,15,2104.4,290.295
plc_copf_pf,15,2403.97,18.4689
occbin_bootstrap_pf,16,2196.61,103.779
pppf_mixture_rbpf,16,2104.3,288.29
plc_copf_pf,16,2404.99,18.5178
occbin_bootstrap_pf,17,2203.31,103.274
pppf_mixture_rbpf,17,2103.09,294.203
plc_copf_pf,17,2404.94,18.5793
occbin_bootstrap_pf,18,2189.69,104.171
pppf_mixture_rbpf,18,2104.79,342.272
plc_copf_pf,18,2406.3,19.5848
occbin_bootstrap_pf,19,2207.02,109.096
pppf_mixture_rbpf,19,2107.39,301.87
plc_copf_pf,19,2405.03,18.762
occbin_bootstrap_pf,20,2200.45,103.336
pppf_mixture_rbpf,20,2104.82,291.284
plc_copf_pf,20,2407.85,18.4111
occbin_bootstrap_pf,21,2218.12,103.448
pppf_mixture_rbpf,21,2104.35,293.514
plc_copf_pf,21,2405.73,18.5673
occbin_bootstrap_pf,22,2202.62,103.852
pppf_mixture_rbpf,22,2103.62,290.884
plc_copf_pf,22,2406.22,18.3993
occbin_bootstrap_pf,23,2198.08,103.543
pppf_mixture_rbpf,23,2103.82,291.453
plc_copf_pf,23,2405.96,18.214
occbin_bootstrap_pf,24,2196.37,104.356
pppf_mixture_rbpf,24,2103.58,291.094
plc_copf_pf,24,2405.02,18.5353
occbin_bootstrap_pf,25,2209.85,103.283
pppf_mixture_rbpf,25,2103.85,331.881
plc_copf_pf,25,2405.44,18.8395
occbin_bootstrap_pf,26,2206.96,105.321
pppf_mixture_rbpf,26,2103.42,299.611
plc_copf_pf,26,2403.76,18.5262
occbin_bootstrap_pf,27,2185.61,103.599
pppf_mixture_rbpf,27,2107.18,290.864
plc_copf_pf,27,2404.01,18.5208
occbin_bootstrap_pf,28,2199.42,104.866
pppf_mixture_rbpf,28,2107.89,289.879
plc_copf_pf,28,2404.66,18.4394
occbin_bootstrap_pf,29,2208.73,103.352
pppf_mixture_rbpf,29,2104.73,286.708
plc_copf_pf,29,2405.94,18.4417
